[2015-07-06 16:53:55,828] [   DEBUG] --- Drawing line from plot... (shape.py:61)
[2015-07-06 16:53:56,700] [   DEBUG] --- Plotting point... (manager.py:75)
[2015-07-06 16:53:56,700] [   DEBUG] --- time coordinage 732839.154746... (shape.py:56)
[2015-07-06 16:53:56,700] [   DEBUG] --- Plotted point at (732839.154746, 2.95382165605)... (shape.py:59)
[2015-07-06 16:53:56,701] [   DEBUG] --- Drawing line from plot... (shape.py:61)
[2015-07-06 16:53:57,223] [   DEBUG] --- Plotting point... (manager.py:75)
[2015-07-06 16:53:57,223] [   DEBUG] --- time coordinage 732839.154846... (shape.py:56)
[2015-07-06 16:53:57,223] [   DEBUG] --- Plotted point at (732839.154846, 3.55095541401)... (shape.py:59)
[2015-07-06 16:53:57,223] [   DEBUG] --- Drawing line from plot... (shape.py:61)
[2015-07-06 16:53:57,790] [   DEBUG] --- Plotting point... (manager.py:75)
[2015-07-06 16:53:57,790] [   DEBUG] --- time coordinage 732839.154681... (shape.py:56)
[2015-07-06 16:53:57,790] [   DEBUG] --- Plotted point at (732839.154681, 6.29777070064)... (shape.py:59)
[2015-07-06 16:53:57,792] [   DEBUG] --- Drawing line from plot... (shape.py:61)
[2015-07-06 16:53:57,792] [   DEBUG] --- Polygon labled for draw... (shape.py:222)
[2015-07-06 16:53:57,792] [   DEBUG] --- Creating polygon from points... (shape.py:68)
[2015-07-06 16:53:57,792] [    INFO] --- Drawing polygon... (shape.py:227)
[2015-07-06 16:54:00,025] [    INFO] --- Terminated CALIPSO program... (Calipso.py:416)
